"","avg_cloud_cover_4","avg_cloud_cover_8","avg_cloud_cover_10","date","rain","year","month","day"
"109",NA,4.5,NA,2021-08-07,22.1,2021,8,7
"110",NA,7.5,NA,2021-08-06,0,2021,8,6
"111",NA,4,NA,2021-08-05,0,2021,8,5
"112",NA,2,NA,2021-08-04,0,2021,8,4
"113",NA,2,NA,2021-08-03,0,2021,8,3
"114",NA,4,NA,2021-08-02,0,2021,8,2
"115",NA,5.5,NA,2021-08-01,0,2021,8,1
"116",NA,4,NA,2021-07-31,0,2021,7,31
"117",NA,1.5,NA,2021-07-30,0,2021,7,30
"118",NA,1,NA,2021-07-29,0,2021,7,29
"119",NA,3,NA,2021-07-28,0,2021,7,28
"120",NA,3.5,NA,2021-07-27,0,2021,7,27
"121",NA,3,NA,2021-07-26,0,2021,7,26
"122",NA,1,NA,2021-07-25,0,2021,7,25
"123",NA,1,NA,2021-07-24,0,2021,7,24
"124",NA,4.5,NA,2021-07-23,0,2021,7,23
"125",NA,5,NA,2021-07-22,0,2021,7,22
"126",NA,4,NA,2021-07-21,0,2021,7,21
"127",NA,3.5,NA,2021-07-20,0,2021,7,20
"128",NA,2.5,NA,2021-07-19,0,2021,7,19
"129",NA,4,NA,2021-07-18,0,2021,7,18
"130",NA,5,NA,2021-07-17,0,2021,7,17
"131",NA,5.5,NA,2021-07-16,0,2021,7,16
"132",NA,4,NA,2021-07-15,0,2021,7,15
"133",NA,3.5,NA,2021-07-14,0,2021,7,14
"134",NA,2,NA,2021-07-13,0,2021,7,13
"135",NA,3.5,NA,2021-07-12,0,2021,7,12
"136",NA,2,NA,2021-07-11,0,2021,7,11
"137",NA,2.5,NA,2021-07-10,0,2021,7,10
"138",NA,4,NA,2021-07-09,0,2021,7,9
"139",NA,5.5,NA,2021-07-08,0,2021,7,8
"140",NA,4.5,NA,2021-07-07,0,2021,7,7
"141",NA,3,NA,2021-07-06,0,2021,7,6
"142",NA,4,NA,2021-07-05,0,2021,7,5
"143",NA,3.5,NA,2021-07-04,0,2021,7,4
"144",NA,3.5,NA,2021-07-03,0,2021,7,3
"145",NA,4,NA,2021-07-02,0,2021,7,2
"146",NA,5,NA,2021-07-01,0,2021,7,1
"147",NA,3,NA,2021-06-30,0,2021,6,30
"148",NA,0.5,NA,2021-06-29,0,2021,6,29
"149",NA,0.5,NA,2021-06-28,0,2021,6,28
"150",NA,0,NA,2021-06-27,0,2021,6,27
"151",NA,0.5,NA,2021-06-26,0,2021,6,26
"152",NA,3.5,NA,2021-06-25,0,2021,6,25
"153",NA,4,NA,2021-06-24,0,2021,6,24
"154",NA,4,NA,2021-06-23,0,2021,6,23
"155",NA,1.5,NA,2021-06-22,0,2021,6,22
"156",NA,4,NA,2021-06-21,0,2021,6,21
"157",NA,4,NA,2021-06-20,0,2021,6,20
"158",NA,4.5,NA,2021-06-19,0,2021,6,19
"159",NA,5,NA,2021-06-18,0,2021,6,18
"160",NA,4,NA,2021-06-17,0,2021,6,17
"161",NA,4.5,NA,2021-06-16,0,2021,6,16
"162",NA,5.5,NA,2021-06-15,2.6,2021,6,15
"163",NA,5.5,NA,2021-06-14,1.6,2021,6,14
"164",NA,8,NA,2021-06-13,12.5,2021,6,13
"165",NA,6.5,NA,2021-06-12,0.6,2021,6,12
"166",NA,7.5,NA,2021-06-11,6.3,2021,6,11
"167",NA,5,NA,2021-06-10,0,2021,6,10
"168",NA,4.5,NA,2021-06-09,1.2,2021,6,9
"169",NA,4.5,NA,2021-06-08,0,2021,6,8
"170",NA,4.5,NA,2021-06-07,5.2,2021,6,7
"171",NA,7,NA,2021-06-06,5,2021,6,6
"172",NA,5.5,NA,2021-06-05,0.8,2021,6,5
"173",NA,4,NA,2021-06-04,1.4,2021,6,4
"174",NA,4.5,NA,2021-06-03,0,2021,6,3
"175",NA,3,NA,2021-06-02,0,2021,6,2
"176",NA,3,NA,2021-06-01,0,2021,6,1
"177",NA,4.5,NA,2021-05-31,0,2021,5,31
"178",NA,4.5,NA,2021-05-30,0,2021,5,30
"179",NA,4,NA,2021-05-29,0,2021,5,29
"180",NA,4.5,NA,2021-05-28,0.8,2021,5,28
"181",NA,7,NA,2021-05-27,8.2,2021,5,27
"182",NA,8,NA,2021-05-26,0,2021,5,26
"183",NA,6.5,NA,2021-05-25,0,2021,5,25
"184",NA,7.5,NA,2021-05-24,3.1,2021,5,24
"185",NA,7.5,NA,2021-05-23,0,2021,5,23
"186",NA,3.5,NA,2021-05-22,0,2021,5,22
"187",NA,3,NA,2021-05-21,0,2021,5,21
"188",NA,3.5,NA,2021-05-20,0,2021,5,20
"189",NA,4.5,NA,2021-05-19,0,2021,5,19
"190",NA,5,NA,2021-05-18,5,2021,5,18
"191",NA,6,NA,2021-05-17,7,2021,5,17
"192",NA,3.5,NA,2021-05-16,0,2021,5,16
"193",NA,3,NA,2021-05-15,0,2021,5,15
"194",NA,4,NA,2021-05-14,0,2021,5,14
"195",NA,4,NA,2021-05-13,0,2021,5,13
"196",NA,5,NA,2021-05-12,3.6,2021,5,12
"197",NA,4,NA,2021-05-11,0,2021,5,11
"198",NA,4,NA,2021-05-10,0,2021,5,10
"199",NA,4.5,NA,2021-05-09,0,2021,5,9
"200",NA,7,NA,2021-05-08,0,2021,5,8
"201",NA,5,NA,2021-05-07,0,2021,5,7
"202",NA,5.5,NA,2021-05-06,0.3,2021,5,6
"203",NA,4,NA,2021-05-05,0,2021,5,5
"204",NA,4.5,NA,2021-05-04,0,2021,5,4
"205",NA,7.5,NA,2021-05-03,2.2,2021,5,3
"206",NA,4.5,NA,2021-05-02,0,2021,5,2
"207",NA,4.5,NA,2021-05-01,0,2021,5,1
"208",NA,7,NA,2021-04-30,13.5,2021,4,30
"209",NA,7.5,NA,2021-04-29,0.3,2021,4,29
"210",NA,7.5,NA,2021-04-28,1.4,2021,4,28
"211",NA,6.5,NA,2021-04-27,0,2021,4,27
"212",NA,5,NA,2021-04-26,0,2021,4,26
"213",NA,7,NA,2021-04-25,7.7,2021,4,25
"214",NA,8,NA,2021-04-24,10.9,2021,4,24
"215",NA,4,NA,2021-04-23,0.3,2021,4,23
"216",NA,3,NA,2021-04-22,0,2021,4,22
"217",NA,4,NA,2021-04-21,0,2021,4,21
"218",NA,1,NA,2021-04-20,0,2021,4,20
"219",NA,1.5,NA,2021-04-19,0,2021,4,19
"220",NA,1,NA,2021-04-18,0,2021,4,18
"221",NA,0.5,NA,2021-04-17,0,2021,4,17
"222",NA,0.5,NA,2021-04-16,0,2021,4,16
"223",NA,0.5,NA,2021-04-15,0,2021,4,15
"224",NA,0.5,NA,2021-04-14,0,2021,4,14
"225",NA,1,NA,2021-04-13,0,2021,4,13
"226",NA,2,NA,2021-04-12,0,2021,4,12
"227",NA,3.5,NA,2021-04-11,0,2021,4,11
"228",NA,3.5,NA,2021-04-10,0,2021,4,10
"229",NA,5.5,NA,2021-04-09,0.9,2021,4,9
"230",NA,4.5,NA,2021-04-08,0,2021,4,8
"231",NA,6.5,NA,2021-04-07,1.8,2021,4,7
"232",NA,4,NA,2021-04-06,0,2021,4,6
"233",NA,3,NA,2021-04-05,0,2021,4,5
"234",NA,4,NA,2021-04-04,0,2021,4,4
"235",NA,7.5,NA,2021-04-03,1.2,2021,4,3
"236",NA,6,NA,2021-04-02,0,2021,4,2
"237",NA,6,NA,2021-04-01,0,2021,4,1
